show_id,genre,release_year
s340,Independent Movies,2021
s340,International Movies,2021
s341,Action & Adventure,2010
s341,Sci-Fi & Fantasy,2010
s341,Thrillers,2010
s342,Dramas,1999
s342,Independent Movies,1999
s343,Comedies,1995
s344,Dramas,1991
s345,Children & Family Movies,1994
s345,Comedies,1994
s345,Dramas,1994
s346,Children & Family Movies,2015
s346,Comedies,2015
s347,Action & Adventure,2008
s347,Comedies,2008
s348,Children & Family Movies,2009
s348,Comedies,2009
s348,Sci-Fi & Fantasy,2009
s349,Comedies,2019
s350,Dramas,2003
s350,Sports Movies,2003
s351,Action & Adventure,2000
s351,Dramas,2000
s351,Sci-Fi & Fantasy,2000
s352,Action & Adventure,2004
s352,Comedies,2004
s352,Cult Movies,2004
s353,Comedies,2016
s353,Dramas,2016
s354,Horror Movies,2013
s355,Action & Adventure,1991
s355,Comedies,1991
s356,Dramas,2011
s356,Thrillers,2011
s357,Action & Adventure,2010
s358,Dramas,2004
s358,Independent Movies,2004
s358,Thrillers,2004
s359,Thrillers,1995
s360,Stand-Up Comedy,2000
s361,Comedies,2010
s361,Romantic Movies,2010
s362,Tv Dramas,2021
s362,Tv Sci-Fi & Fantasy,2021
s363,Dramas,2018
s363,International Movies,2018
s364,Action & Adventure,2021
s364,International Movies,2021
s364,Thrillers,2021
s365,Kids' Tv,2021
s365,Tv Comedies,2021
s366,Dramas,2014
s366,Independent Movies,2014
s366,International Movies,2014
s367,British Tv Shows,2021
s367,International Tv Shows,2021
s367,Reality Tv,2021
s368,Documentaries,2020
s368,International Movies,2020
s369,International Tv Shows,2009
s369,Reality Tv,2009
s370,British Tv Shows,2021
s370,Crime Tv Shows,2021
s370,Docuseries,2021
s371,Tv Action & Adventure,2021
s371,Tv Dramas,2021
s371,Teen Tv Shows,2021
s372,Dramas,2009
s372,Independent Movies,2009
s372,International Movies,2009
s373,Action & Adventure,2021
s373,International Movies,2021
s374,Action & Adventure,2021
s374,Comedies,2021
s374,International Movies,2021
s375,Comedies,2013
s375,International Movies,2013
s375,Romantic Movies,2013
s376,Comedies,2021
s376,Romantic Movies,2021
s377,Anime Series,2021
s378,Action & Adventure,2021
s378,International Movies,2021
s379,Documentaries,2019
s380,Reality Tv,2021
s381,Crime Tv Shows,2021
s381,Tv Action & Adventure,2021
s381,Tv Sci-Fi & Fantasy,2021
s382,Crime Tv Shows,2021
s382,International Tv Shows,2021
s382,Spanish-Language Tv Shows,2021
s383,Tv Dramas,2021
s383,Teen Tv Shows,2021
s384,Action & Adventure,2012
s384,International Movies,2012
s385,Thrillers,2021
s386,Crime Tv Shows,2021
s386,International Tv Shows,2021
s386,Tv Comedies,2021
s387,Kids' Tv,2021
s388,Comedies,2021
s388,Dramas,2021
s388,International Movies,2021
s389,Stand-Up Comedy & Talk Shows,2021
s389,Tv Comedies,2021
s390,Dramas,2019
s390,International Movies,2019
s390,Thrillers,2019
s391,Classic & Cult Tv,2019
s391,Tv Action & Adventure,2019
s391,Tv Dramas,2019
s392,International Tv Shows,2020
s392,Tv Action & Adventure,2020
s392,Tv Dramas,2020
s393,Action & Adventure,2012
s393,Dramas,2012
s394,Children & Family Movies,2021
s394,Sports Movies,2021
s395,Dramas,2021
s395,Independent Movies,2021
s395,International Movies,2021
s396,Comedies,2021
s396,International Movies,2021
s397,Action & Adventure,2021
s397,Horror Movies,2021
s397,International Movies,2021
s398,International Tv Shows,2021
s398,Romantic Tv Shows,2021
s398,Tv Comedies,2021
s399,Horror Movies,2021
s399,International Movies,2021
s399,Thrillers,2021
s400,Tv Action & Adventure,2021
s400,Tv Sci-Fi & Fantasy,2021
s401,Anime Series,2021
s401,Stand-Up Comedy & Talk Shows,2021
s402,International Tv Shows,2021
s402,Spanish-Language Tv Shows,2021
s402,Tv Action & Adventure,2021
s403,Dramas,2021
s403,Romantic Movies,2021
s404,Docuseries,2021
s405,Documentaries,2021
s406,Children & Family Movies,2015
s407,Children & Family Movies,2013
s408,Children & Family Movies,2009
s409,Children & Family Movies,2011
s410,Children & Family Movies,2010
s411,Children & Family Movies,2013
s412,Children & Family Movies,2013
s413,Children & Family Movies,2013
s414,Children & Family Movies,2013
s415,Children & Family Movies,2012
s416,Children & Family Movies,2009
s417,Children & Family Movies,2013
s418,Children & Family Movies,2015
